Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,English,Spanish,French
680,2225,bergen,berge,,birgst,,birgt,barg,,geborgen,,bärge,,birg,,,bergt,,haben,,recover,recuperar,récupérer
679,2227,spannen,spanne,,spannst,,spannt,spannte,,gespannt,,spannte,,spanne,,,spannt,,haben,,tension,tensión,tension
678,2229,bedienen,bediene,,bedienst,,bedient,bediente,,bedient,,bediente,,bedien,bediene,,bedient,,haben,,serve,atender,servir
677,2253,schleichen,schleiche,,schleichst,,schleicht,schlich,,geschlichen,,schliche,,schleiche,schleich,,schleicht,,sein,,sneak,furtivo,mouchard
676,2258,weigern,weigere,,weigerst,,weigert,weigerte,,geweigert,,weigerte,,weiger,,,weigert,,haben,,refuse,rechazar,refuser
675,2259,russen,russe,,russt,,russt,russte,,gerusst,,russte,,russ,russe,,russt,,haben,,Russians,rusos,Russes
674,2263,abmachen,mache ab,mach ab,machst ab,,macht ab,machte ab,,abgemacht,,machte ab,,mache ab,mach ab,,macht ab,,haben,,settle,asentarse,régler
673,2273,verhandeln,verhandele,verhandle,verhandelst,,verhandelt,verhandelte,,verhandelt,,verhandelte,,verhandele,verhandel,,verhandelt,,haben,,negotiate,negociar,négocier
672,2291,ausruhen,ruhe aus,,ruhst aus,,ruht aus,ruhte aus,,ausgeruht,,ruhte aus,,ruh aus,ruhe aus,,ruht aus,,haben,,relax,relajarse,se détendre
671,2304,vorgehen,gehe vor,,gehst vor,,geht vor,ging vor,,vorgegangen,,ginge vor,,geh vor,,,geht vor,,sein,,proceed,proceder,procéder
670,2307,regnen,—,,—,,regnet,regnete,,geregnet,,regnete,,—,,,—,,haben,,rain,lluvia,pluie
669,2309,aussprechen,spreche aus,,sprichst aus,,spricht aus,sprach aus,,ausgesprochen,,spräche aus,,sprich aus,,,sprecht aus,,haben,,express,expresar,exprimer
668,2319,strecken,strecke,,streckst,,streckt,streckte,,gestreckt,,streckte,,streck,,,streckt,,haben,,stretch,estirar,extensible
667,2320,beteiligen,beteilige,,beteiligst,,beteiligt,beteiligte,,beteiligt,,beteiligte,,beteilige,,,beteiligt,,haben,,participate,participar,participer
666,2326,vergiften,vergifte,,vergiftest,,vergiftet,vergiftete,,vergiftet,,vergiftete,,vergift,vergifte,,vergiftet,,haben,,poison,veneno,poison
665,2335,auslösen,löse aus,,löst aus,,löst aus,löste aus,,ausgelöst,,löste aus,,löse aus,,,löst aus,,haben,,trigger,desencadenar,déclenchement
664,2354,zurücklassen,lasse zurück,,lässt zurück,,lässt zurück,ließ zurück,,zurückgelassen,,ließe zurück,,lass zurück,lasse zurück,,lasst zurück,,haben,,leave behind,dejar atrás,laisser derrière
663,2358,ertrinken,ertrinke,,ertrinkst,,ertrinkt,ertrank,,ertrunken,,ertränke,,ertrinke,ertrink,,ertrinkt,,sein,,drowning,ahogo,noyade
662,2371,befragen,befrage,,befragst,,befragt,befragte,,befragt,,befragte,,befrag,befrage,,befragt,,haben,,question,pregunta,question
660,2374,umziehen,ziehe um,,ziehst um,,zieht um,zog um,,umgezogen,,zöge um,,zieh um,,,zieht um,,sein,haben,move,mover,se déplacer
661,2374,gestehen,gestehe,,gestehst,,gesteht,gestand,,gestanden,,gestände,gestünde,gestehe,,,gesteht,,haben,,confess,confesar,confesser
659,2382,modern,modere,,moderst,,modert,moderte,,gemodert,,moderte,,modere,,,modert,,haben,sein,modern,moderno,moderne
658,2385,flehen,flehe,,flehst,,fleht,flehte,,gefleht,,flehte,,flehe,fleh,,fleht,flehet,haben,,beg,mendigar,mendier
657,2388,vergewaltigen,vergewaltige,,vergewaltigst,,vergewaltigt,vergewaltigte,,vergewaltigt,,vergewaltigte,,vergewaltige,,,vergewaltigt,,haben,,rape,violación,râpé
656,2389,weichen,weiche,,weichst,,weicht,wich,,gewichen,,wiche,,weiche,,,weicht,,sein,,soft,suave,doux
655,2391,reizen,reize,,reizt,reizest,reizt,reizte,,gereizt,,reizte,,reize,reiz,,reizt,,haben,,irritate,irritar,irriter
654,2393,ergreifen,ergreife,,ergreifst,,ergreift,ergriff,,ergriffen,,ergriffe,,ergreife,,,ergreift,,haben,,seize,aprovechar,saisir
653,2395,bekämpfen,bekämpfe,,bekämpfst,,bekämpft,bekämpfte,,bekämpft,,bekämpfte,,bekämpf,bekämpfe,,bekämpft,,haben,,fight,luchar,lutte
652,2397,festnehmen,nehme fest,,nimmst fest,,nimmt fest,nahm fest,,festgenommen,,nähme fest,,nimm fest,,,nehmt fest,,haben,,arrest,detención,arrêter
651,2404,starren,starre,,starrst,,starrt,starrte,,gestarrt,,starrte,,starre,,,starrt,,haben,,stare,mirada fija,regard
650,2412,mitteilen,teile mit,,teilst mit,,teilt mit,teilte mit,,mitgeteilt,,teilte mit,,teil mit,teile mit,,teilt mit,,haben,,communicate,comunicar,communiquer
649,2419,begeistern,begeistere,,begeisterst,,begeistert,begeisterte,,begeistert,,begeisterte,,begeistere,,,begeistert,,haben,,inspire,inspirar,inspirer
648,2423,beschuldigen,beschuldige,,beschuldigst,,beschuldigt,beschuldigte,,beschuldigt,,beschuldigte,,beschuldig,beschuldige,,beschuldigt,,haben,,accuse,acusar,accuser
647,2424,wehtun,tu weh,tue weh,tust weh,,tut weh,tat weh,,wehgetan,,täte weh,,tu weh,tue weh,,tut weh,,haben,,hurt,herir,blesser
646,2428,knarren,knarre,,knarrst,,knarrt,knarrte,,geknarrt,,knarrte,,knarr,knarre,,knarrt,,haben,,creak,crujir,craquer
645,2436,belügen,belüge,,belügst,,belügt,belog,,belogen,,belöge,,belüge,belüg,,belügt,,haben,,lie to,estar a la capa,mentir à
643,2447,tauschen,tausche,,tauschst,tauscht,tauscht,tauschte,,getauscht,,tauschte,,tausche,tausch,,tauscht,,haben,,to exchange,intercambiar,échanger
644,2447,abhalten,halte ab,,hältst ab,,hält ab,hielt ab,,abgehalten,,hielte ab,,halte ab,,,haltet ab,,haben,,hold off,esperar,attendre
642,2454,anschließen,schließe an,,schließt an,,schließt an,schloss an,,angeschlossen,,schlösse an,,schließ an,schließe an,,schließt an,,haben,,connect,conectar,connecter
641,2462,grenzen,grenze,,grenzt,,grenzt,grenzte,,gegrenzt,,grenzte,,grenze,,,grenzt,,haben,,boundaries,límites,frontières
640,2476,anlegen,lege an,,legst an,,legt an,legte an,,angelegt,,legte an,,leg an,lege an,,legt an,,haben,,invest,invertir,investir
639,2478,organisieren,organisiere,,organisierst,,organisiert,organisierte,,organisiert,,organisierte,,organisiere,organisier,,organisiert,,haben,,organize,organizar,organiser
638,2486,binden,binde,,bindest,,bindet,band,,gebunden,,bände,,binde,,,bindet,,haben,,bind,unir,lier
637,2498,abschneiden,schneide ab,,schneidest ab,,schneidet ab,schnitt ab,,abgeschnitten,,schnitte ab,,schneide ab,schneid ab,,schneidet ab,,haben,,cut,cortar,couper
636,2511,entstehen,entstehe,,entstehst,,entsteht,entstand,,entstanden,,entstände,entstünde,entstehe,,,entsteht,,sein,,arise,surgir,surgir
635,2515,bluten,blute,,blutest,,blutet,blutete,,geblutet,,blutete,,blute,,,blutet,,haben,,bleed,sangrar,saigner
634,2522,ahnen,ahne,,ahnst,,ahnt,ahnte,,geahnt,,ahnte,,ahne,,,ahnt,,haben,,guess,adivinar,deviner
633,2530,herrschen,herrsche,,herrschst,herrscht,herrscht,herrschte,,geherrscht,,herrschte,,herrsche,herrsch,,herrscht,,haben,,prevail,prevalecer,prévaloir
632,2537,empfehlen,empfehle,,empfiehlst,,empfiehlt,empfahl,,empfohlen,,empfähle,empföhle,empfiehl,,,empfehlt,,haben,,recommend,recomendar,recommander
631,2555,fließen,fließe,,fließt,,fließt,floss,,geflossen,,flösse,,fließ,fließe,,fließt,,sein,,flow,fluir,couler
629,2561,versauen,versaue,,versaust,,versaut,versaute,,versaut,,versaute,,versau,versaue,,versaut,,haben,,mess up,estropear,gâcher
630,2561,nachsehen,sehe nach,,siehst nach,,sieht nach,sah nach,,nachgesehen,,sähe nach,,sieh nach,,,seht nach,,haben,,look,mirar,regarder
628,2564,räumen,räume,,räumst,,räumt,räumte,,geräumt,,räumte,,räume,räum,,räumt,,haben,,clear,claro,clair
627,2567,loslassen,lasse los,,lässt los,,lässt los,ließ los,,losgelassen,,ließe los,,lass los,lasse los,,lasst los,,haben,,release,liberar,libérer
626,2575,mitmachen,mache mit,,machst mit,,macht mit,machte mit,,mitgemacht,,machte mit,,mach mit,,,macht mit,,haben,,join in,participar,se joindre à
625,2578,ausreden,rede aus,,redest aus,,redet aus,redete aus,,ausgeredet,,redete aus,,red aus,rede aus,,redet aus,,haben,,excuses,excusas,excuses
623,2590,auszeichnen,zeichne aus,,zeichnest aus,,zeichnet aus,zeichnete aus,,ausgezeichnet,,zeichnete aus,,zeichne aus,,,zeichnet aus,,haben,,distinguish,distinguir,distinguer
624,2590,erben,erbe,,erbst,,erbt,erbte,,geerbt,,erbte,,erbe,,,erbt,,haben,,inherit,heredar,hériter
622,2591,bewundern,bewundere,,bewunderst,,bewundert,bewunderte,,bewundert,,bewunderte,,bewundere,,,bewundert,,haben,,admire,admirar,admirer
621,2597,überwachen,überwache,,überwachst,,überwacht,überwachte,,überwacht,,überwachte,,überwache,,,überwacht,,haben,,monitor,monitor,moniteur
620,2598,bewaffnen,bewaffne,,bewaffnest,,bewaffnet,bewaffnete,,bewaffnet,,bewaffnete,,bewaffne,,,bewaffnet,,haben,,arm,brazo,bras
619,2602,herstellen,stelle her,,stellst her,,stellt her,stellte her,,hergestellt,,stellte her,,stell her,,,stellt her,,haben,,produce,producir,produire
618,2618,blasen,blase,,bläst,,bläst,blies,,geblasen,,bliese,,blas,blase,,blast,,haben,,blow,explotar,souffler
617,2624,bedrohen,bedrohe,,bedrohst,,bedroht,bedrohte,,bedroht,,bedrohte,,bedrohe,,,bedroht,,haben,,threaten,amenazar,menacer
616,2641,streichen,streiche,,streichst,,streicht,strich,,gestrichen,,striche,,streiche,streich,,streicht,,haben,sein,cancel,Cancelar,Annuler
615,2642,mittagessen,—,,—,,—,—,,mittaggegessen,,—,,—,,,—,,haben,,lunch,almuerzo,déjeuner
614,2643,nullen,nulle,,nullst,,nullt,nullte,,genullt,,nullte,,nulle,,,nullt,,haben,,zero,cero,zéro
613,2649,zustimmen,stimme zu,,stimmst zu,,stimmt zu,stimmte zu,,zugestimmt,,stimmte zu,,stimme zu,,,stimmt zu,,haben,,agree,aceptar,accepter
612,2650,steuern,steuere,steuer,steuerst,,steuert,steuerte,,gesteuert,,steuerte,,steuere,steuer,,steuert,,haben,,steer,buey,diriger
611,2659,eröffnen,eröffne,,eröffnest,,eröffnet,eröffnete,,eröffnet,,eröffnete,,eröffne,,,eröffnet,,haben,,open,abierto,ouvrir
610,2662,verderben,verderbe,,verdirbst,,verdirbt,verdarb,,verdorben,verderbt,verdürbe,,verdirb,,,verderbt,,haben,,spoil,arruinar,gâcher
608,2664,ficken,ficke,,fickst,,fickt,fickte,,gefickt,,fickte,,ficke,fick,,fickt,,haben,,fuck,Mierda,Putain
609,2664,ersetzen,ersetze,,ersetzt,,ersetzt,ersetzte,,ersetzt,,ersetzte,,ersetze,,,ersetzt,,haben,,substitute,sustituto,remplaçant
607,2678,beschließen,beschließe,,beschließt,,beschließt,beschloss,,beschlossen,,beschlösse,,beschließe,,,beschließt,,haben,,decide,decidir,décider
605,2682,verteilen,verteile,,verteilst,,verteilt,verteilte,,verteilt,,verteilte,,verteile,,,verteilt,,haben,,distribute,distribuir,distribuer
606,2682,ausdrücken,drücke aus,,drückst aus,,drückt aus,drückte aus,,ausgedrückt,,drückte aus,,drücke aus,,,drückt aus,,haben,,to express,expresar,exprimer
604,2686,verzweifeln,verzweifle,,verzweifelst,,verzweifelt,verzweifelte,,verzweifelt,,verzweifelte,,verzweifle,verzweifele,,verzweifelt,,sein,,despair,desesperación,désespoir
603,2697,seufzen,seufze,,seufzt,,seufzt,seufzte,,geseufzt,,seufzte,,seufz,seufze,,seufzt,,haben,,sigh,suspiro,soupir
602,2699,wegnehmen,nehme weg,,nimmst weg,,nimmt weg,nahm weg,,weggenommen,,nähme weg,,nimm weg,,,nehmt weg,,haben,,take away,llevar,emporter
601,2701,fesseln,fessele,fessle,fesselst,,fesselt,fesselte,,gefesselt,,fesselte,,fessle,,,fesselt,,haben,,tie up,atar,ficeler
600,2702,decken,decke,,deckst,,deckt,deckte,,gedeckt,,deckte,,decke,deck,,deckt,,haben,,cover,cubrir,couverture
599,2709,eingehen,gehe ein,,gehst ein,,geht ein,ging ein,,eingegangen,,ginge ein,,geh ein,gehe ein,,geht ein,,sein,,enter,ingresar,entrer
598,2721,flüstern,flüstere,,flüsterst,,flüstert,flüsterte,,geflüstert,,flüsterte,,flüstere,,,flüstert,,haben,,whisper,susurro,chuchoter
597,2740,bellen,belle,,bellst,,bellt,bellte,,gebellt,,bellte,,bell,belle,,bellt,,haben,,bay,bahía,baie
596,2743,vorbeikommen,komme vorbei,,kommst vorbei,,kommt vorbei,kam vorbei,,vorbeigekommen,,käme vorbei,,komm vorbei,komme vorbei,,kommt vorbei,,sein,,come over,venir,viens
595,2745,übertreiben,übertreibe,,übertreibst,,übertreibt,übertrieb,,übertrieben,,übertriebe,,übertreibe,übertreib,,übertreibt,,haben,,exaggerate,exagerar,exagérer
594,2746,erhöhen,erhöhe,,erhöhst,,erhöht,erhöhte,,erhöht,,erhöhte,,erhöhe,erhöh,,erhöht,,haben,,increase,aumentar,augmenter
593,2761,graben,grabe,,gräbst,,gräbt,grub,,gegraben,,grübe,,grab,grabe,,grabt,,haben,,dig,excavar,creuser
592,2765,beißen,beiße,,beißt,,beißt,biss,,gebissen,,bisse,,beiße,beiß,,beißt,,haben,,bite,morder,mordre
591,2766,segnen,segne,,segnest,,segnet,segnete,,gesegnet,,segnete,,segne,,,segnet,,haben,,bless,bendecir,bénir
590,2769,umdrehen,drehe um,,drehst um,,dreht um,drehte um,,umgedreht,,drehte um,,dreh um,drehe um,,dreht um,,haben,,turn around,Giro de vuelta,faire demi-tour
589,2773,spazieren,spaziere,,spazierst,,spaziert,spazierte,,spaziert,,spazierte,,spaziere,spazier,,spaziert,,sein,,stroll,paseo,flâner
588,2774,explodieren,explodiere,,explodierst,,explodiert,explodierte,,explodiert,,explodierte,,explodier,explodiere,,explodiert,,sein,,explode,explotar,exploser
587,2778,schmeißen,schmeiße,,schmeißt,,schmeißt,schmiss,,geschmissen,,schmisse,,schmeiß,,,schmeißt,,haben,,throw,tirar,lancer
586,2782,versetzen,versetze,,versetzt,,versetzt,versetzte,,versetzt,,versetzte,,versetze,versetz,,versetzt,,haben,,relocate,trasladarse,déménager
585,2785,begrüßen,begrüße,,begrüßt,,begrüßt,begrüßte,,begrüßt,,begrüßte,,begrüße,begrüß,,begrüßt,,haben,,greet,saludar,saluer
583,2788,einschlafen,schlafe ein,,schläfst ein,,schläft ein,schlief ein,,eingeschlafen,,schliefe ein,,schlaf ein,schlafe ein,,schlaft ein,,sein,,fall asleep,dormirse,s'endormir
584,2788,aussteigen,steige aus,,steigst aus,,steigt aus,stieg aus,,ausgestiegen,,stiege aus,,steig aus,,,steigt aus,,sein,,exit,salida,sortie
582,2797,betreten,betrete,,betrittst,,betritt,betrat,,betreten,,beträte,,betritt,,,betretet,,haben,,enter,ingresar,entrer
581,2817,kündigen,kündige,,kündigst,,kündigt,kündigte,,gekündigt,,kündigte,,kündig,kündige,,kündigt,,haben,,quit,abandonar,quitter
580,2837,befürchten,befürchte,,befürchtest,,befürchtet,befürchtete,,befürchtet,,befürchtete,,befürchte,,,befürchtet,,haben,,fear,miedo,peur
579,2842,filmen,filme,,filmst,,filmt,filmte,,gefilmt,,filmte,,film,filme,,filmt,,haben,,film,película,film
578,2848,amüsieren,amüsiere,,amüsierst,,amüsiert,amüsierte,,amüsiert,,amüsierte,,amüsiere,amüsier,,amüsiert,,haben,,amuse,divertir,amuser
577,2853,auffallen,falle auf,,fällst auf,,fällt auf,fiel auf,,aufgefallen,,fiele auf,,fall auf,falle auf,,fallt auf,fallet auf,sein,,stand out,destacar,ressortir
576,2860,garantieren,garantiere,,garantierst,,garantiert,garantierte,,garantiert,,garantierte,,garantiere,garantier,,garantiert,,haben,,guarantee,garantizar,garantie
575,2879,anfassen,fasse an,,fasst an,,fasst an,fasste an,,angefasst,,fasste an,,fasse an,,,fasst an,,haben,,touch,tocar,touche
574,2880,widerstehen,widerstehe,,widerstehst,,widersteht,widerstand,,widerstanden,,widerstände,,widerstehe,,,widersteht,,haben,,resist,resistir,résister
573,2886,rechnen,rechne,,rechnest,,rechnet,rechnete,,gerechnet,,rechnete,,rechne,,,rechnet,,haben,,calculate,calcular,calculer
571,2890,frischen,frische,,frischst,,frischt,frischte,,gefrischt,,frischte,,frische,,,frischt,,haben,,fresh,fresco,frais
572,2890,antun,tue an,,tust an,,tut an,tat an,,angetan,,täte an,,tu an,tue an,,tut an,,haben,,do to,hacer para,faire à
570,2893,unterbrechen,unterbreche,,unterbrichst,,unterbricht,unterbrach,,unterbrochen,,unterbräche,,unterbrich,,,unterbrecht,,haben,,interrupt,interrumpir,interrompre
569,2900,aktivieren,aktiviere,,aktivierst,,aktiviert,aktivierte,,aktiviert,,aktivierte,,aktiviere,aktivier,,aktiviert,,haben,,activate,activar,activer
568,2907,sperren,sperre,,sperrst,,sperrt,sperrte,,gesperrt,,sperrte,,sperre,sperr,,sperrt,,haben,,lock out,cerrar,lock-out
567,2908,dingen,dinge,,dingst,,dingt,dang,dingte,gedungen,gedingt,dänge,dingte,dinge,ding,,dingt,,haben,,things,cosas,des choses
566,2926,aufwachsen,wachse auf,,wächst auf,,wächst auf,wuchs auf,,aufgewachsen,,wüchse auf,,wachse auf,,,wachst auf,,sein,,grow up,crecer,grandir
565,2956,begreifen,begreife,,begreifst,,begreift,begriff,,begriffen,,begriffe,,begreife,,,begreift,,haben,,understand,entender,comprendre
564,2964,ausgeben,gebe aus,,gibst aus,,gibt aus,gab aus,,ausgegeben,,gäbe aus,,gib aus,,,gebt aus,,haben,,spend,gastar,dépenser
563,2968,erschaffen,erschaffe,,erschaffst,,erschafft,erschuf,,erschaffen,,erschüfe,,erschaff,erschaffe,,erschafft,,haben,,create,crear,créer
562,2972,respektieren,respektiere,,respektierst,,respektiert,respektierte,,respektiert,,respektierte,,respektiere,respektier,,respektiert,,haben,,respect,respeto,respect
561,2988,erheben,erhebe,,erhebst,,erhebt,erhob,erhub,erhoben,,erhöbe,,erhebe,,,erhebt,,haben,,raise,aumentar,augmenter
560,3006,bedenken,bedenke,,bedenkst,,bedenkt,bedachte,,bedacht,,bedächte,,bedenke,,,bedenkt,,haben,,consider,considerar,considérer
559,3010,lehren,lehre,,lehrst,,lehrt,lehrte,,gelehrt,,lehrte,,lehre,,,lehrt,,haben,,teach,enseñar,enseigner
558,3011,aussuchen,suche aus,,suchst aus,,sucht aus,suchte aus,,ausgesucht,,suchte aus,,suche aus,such aus,,sucht aus,,haben,,choose,elegir,choisir
557,3013,verabschieden,verabschiede,,verabschiedest,,verabschiedet,verabschiedete,,verabschiedet,,verabschiedete,,verabschied,verabschiede,,verabschiedet,,haben,,say goodbye,decir adios,dire au revoir
556,3034,ignorieren,ignoriere,,ignorierst,,ignoriert,ignorierte,,ignoriert,,ignorierte,,ignoriere,ignorier,,ignoriert,,haben,,ignore,ignorar,ignorer
555,3040,vögeln,vögele,vögle,vögelst,,vögelt,vögelte,,gevögelt,,vögelte,,vögele,vögle,,vögelt,,haben,,fuck,Mierda,Putain
554,3043,drohen,drohe,,drohst,,droht,drohte,,gedroht,,drohte,,drohe,,,droht,,haben,,threaten,amenazar,menacer
553,3056,täuschen,täusche,,täuschst,täuscht,täuscht,täuschte,,getäuscht,,täuschte,,täusche,,,täuscht,täuschet,haben,,deceive,engañar,tromper
552,3062,bilden,bilde,,bildest,,bildet,bildete,,gebildet,,bildete,,bilde,,,bildet,,haben,,form,forma,formulaire
551,3066,anhören,höre an,,hörst an,,hört an,hörte an,,angehört,,hörte an,,hör an,höre an,,hört an,,haben,,listen,escuchar,écouter
550,3068,scheiden,scheide,,scheidest,,scheidet,schied,,geschieden,,schiede,,scheid,scheide,,scheidet,,haben,,divorce,divorcio,divorce
549,3082,beschreiben,beschreibe,,beschreibst,,beschreibt,beschrieb,,beschrieben,,beschriebe,,beschreibe,beschreib,,beschreibt,,haben,,describe,describir,décrire
548,3086,doppeln,doppele,,doppelst,,doppelt,doppelte,,gedoppelt,,doppelte,,doppel,doppele,,doppelt,,haben,,double,doble,double
547,3087,füllen,fülle,,füllst,,füllt,füllte,,gefüllt,,füllte,,fülle,,,füllt,,haben,,fill,llenar,remplir
546,3089,erfreuen,erfreue,,erfreust,,erfreut,erfreute,,erfreut,,erfreute,,erfreu,erfreue,,erfreut,,haben,,delight,deleitar,plaisir
545,3095,gratulieren,gratuliere,,gratulierst,,gratuliert,gratulierte,,gratuliert,,gratulierte,,gratulier,gratuliere,,gratuliert,,haben,,congratulate,felicitar,féliciter
544,3112,heulen,heule,,heulst,,heult,heulte,,geheult,,heulte,,heule,heul,,heult,,haben,,cry,llorar,pleurer
543,3118,schieben,schiebe,,schiebst,,schiebt,schob,,geschoben,,schöbe,,schieb,,,schiebt,,haben,,push,empujar,pousser
542,3130,anzeigen,zeige an,,zeigst an,,zeigt an,zeigte an,,angezeigt,,zeigte an,,zeig an,zeige an,,zeigt an,,haben,,show,espectáculo,montrer
540,3131,testen,teste,,testest,,testet,testete,,getestet,,testete,,teste,,,testet,,haben,,test,prueba,test
541,3131,wetten,wette,,wettest,,wettet,wettete,,gewettet,,wettete,,wette,,,wettet,,haben,,bet,apuesta,pari
539,3136,löschen,lösche,,löschst,löscht,löscht,löschte,,gelöscht,,löschte,,lösche,lösch,,löscht,,haben,,delete,borrar,supprimer
538,3137,äußern,äußere,,äußerst,,äußert,äußerte,,geäußert,,äußerte,,äußere,äußer,,äußert,,haben,,express,expresar,exprimer
537,3140,empfangen,empfange,,empfängst,,empfängt,empfing,,empfangen,,empfinge,,empfange,,,empfangt,,haben,,received,recibió,reçu
536,3141,auftreten,trete auf,,trittst auf,,tritt auf,trat auf,,aufgetreten,,träte auf,,tritt auf,,,tretet auf,,sein,haben,appear,aparecer,apparaître
535,3153,verbergen,verberge,,verbirgst,,verbirgt,verbarg,,verborgen,,verbärge,,verbirg,,,verbergt,,haben,,hide,esconder,cacher
533,3160,abnehmen,nehme ab,,nimmst ab,,nimmt ab,nahm ab,,abgenommen,,nähme ab,,nimm ab,,,nehmt ab,,haben,,lose weight,perder peso,perdre du poids
534,3160,lockern,lockere,,lockerst,,lockert,lockerte,,gelockert,,lockerte,,lockere,,,lockert,,haben,,loosen,aflojar,desserrer
532,3165,stärken,stärke,,stärkst,,stärkt,stärkte,,gestärkt,,stärkte,,stärke,,,stärkt,,haben,,strengthen,fortalecer,renforcer
531,3170,weglaufen,laufe weg,,läufst weg,,läuft weg,lief weg,,weggelaufen,,liefe weg,,lauf weg,laufe weg,,lauft weg,,sein,,run away,huir,fuyez
530,3176,aufbauen,baue auf,,baust auf,,baut auf,baute auf,,aufgebaut,,baute auf,,baue auf,,,bauet auf,,haben,,build up,reunir,s'accumuler
529,3193,abgeben,gebe ab,,gibst ab,,gibt ab,gab ab,,abgegeben,,gäbe ab,,gib ab,,,gebt ab,,haben,,hand over,Entregar,remettre
528,3234,fordern,fordere,,forderst,,fordert,forderte,,gefordert,,forderte,,fordere,,,fordert,,haben,,demand,demanda,demande
527,3236,spuren,spure,,spurst,,spurt,spurte,,gespurt,,spurte,,spure,,,spurt,,haben,,sense,sentido,sens
526,3248,komplizieren,kompliziere,,komplizierst,,kompliziert,komplizierte,,kompliziert,,komplizierte,,kompliziere,komplizier,,kompliziert,,haben,,complicate,complicar,compliquer
525,3255,bereuen,bereue,,bereust,,bereut,bereute,,bereut,,bereute,,bereu,bereue,,bereut,,haben,,regret,arrepentirse,regret
524,3273,verpassen,verpasse,,verpasst,,verpasst,verpasste,,verpasst,,verpasste,,verpass,verpasse,,verpasst,,haben,,miss,extrañar,manquer
523,3275,betragen,betrage,,beträgst,,beträgt,betrug,,betragen,,betrüge,,betrage,,,betragt,,haben,,be,ser,être
522,3277,anbieten,biete an,,bietest an,,bietet an,bot an,,angeboten,,böte an,,biet an,biete an,,bietet an,,haben,,offer,oferta,offre
521,3290,malen,male,,malst,,malt,malte,,gemalt,,malte,,male,mal,,malt,,haben,,paint,pintar,peinture
520,3298,einsetzen,setze ein,,setzt ein,,setzt ein,setzte ein,,eingesetzt,,setzte ein,,setze ein,,,setzt ein,,haben,,insert,insertar,insérer
519,3305,anlügen,lüge an,,lügst an,,lügt an,log an,,angelogen,,löge an,,lüg an,lüge an,,lügt an,,haben,,lie to,estar a la capa,mentir à
518,3308,weggehen,gehe weg,,gehst weg,,geht weg,ging weg,,weggegangen,,ginge weg,,geh weg,gehe weg,,geht weg,,sein,,go away,irse,s'en aller
517,3312,ablehnen,lehne ab,,lehnst ab,,lehnt ab,lehnte ab,,abgelehnt,,lehnte ab,,lehne ab,,,lehnt ab,,haben,,refuse,rechazar,refuser
516,3319,prüfen,prüfe,,prüfst,,prüft,prüfte,,geprüft,,prüfte,,prüf,prüfe,,prüft,,haben,,check,controlar,vérifier
515,3327,versichern,versichere,,versicherst,,versichert,versicherte,,versichert,,versicherte,,versichere,,,versichert,,haben,,assure,asegurar,assurer
514,3335,beleidigen,beleidige,,beleidigst,,beleidigt,beleidigte,,beleidigt,,beleidigte,,beleidige,,,beleidigt,,haben,,insult,insulto,insulte
512,3337,präsentieren,präsentiere,,präsentierst,,präsentiert,präsentierte,,präsentiert,,präsentierte,,präsentiere,präsentier,,präsentiert,,haben,,present,presente,présent
513,3337,durchsuchen,durchsuche,,durchsuchst,,durchsucht,durchsuchte,,durchsucht,,durchsuchte,,durchsuche,,,durchsucht,,haben,,browse,navegar,parcourir
511,3343,mühen,mühe,,mühst,,müht,mühte,,gemüht,,mühte,,müh,mühe,,müht,,haben,,strive,esforzarse,aspirer
510,3346,einfallen,falle ein,,fällst ein,,fällt ein,fiel ein,,eingefallen,,fiele ein,,falle ein,,,fallt ein,,sein,,come up,sube,montez
509,3351,sparen,spare,,sparst,,spart,sparte,,gespart,,sparte,,spare,,,spart,,haben,,save,ahorrar,sauvegarder
508,3352,stinken,stinke,,stinkst,,stinkt,stank,,gestunken,,stänke,,stinke,stink,,stinkt,,haben,,stink,hedor,puer
507,3354,betrachten,betrachte,,betrachtest,,betrachtet,betrachtete,,betrachtet,,betrachtete,,betrachte,,,betrachtet,,haben,,regard,respecto,égard
506,3367,ertragen,ertrage,,erträgst,,erträgt,ertrug,,ertragen,,ertrüge,,ertrag,ertrage,,ertragt,,haben,,bear,oso,ours
505,3375,trainieren,trainiere,,trainierst,,trainiert,trainierte,,trainiert,,trainierte,,trainier,trainiere,,trainiert,,haben,,train,tren,former
504,3390,daten,date,,datest,,datet,datete,,gedatet,,datete,,date,,,datet,,haben,,data,datos,données
503,3393,gründen,gründe,,gründest,,gründet,gründete,,gegründet,,gründete,,gründ,gründe,,gründet,,haben,,found,encontró,trouvé
502,3412,fluchen,fluche,,fluchst,,flucht,fluchte,,geflucht,,fluchte,,fluche,fluch,,flucht,,haben,,curse,maldición,malédiction
501,3423,opfern,opfere,,opferst,,opfert,opferte,,geopfert,,opferte,,opfere,,,opfert,,haben,,sacrifice,sacrificio,sacrifier
